#CODE;NAME;x
#CODE_desc;DESCRIPTION;x

add_gold_vassal_mind_desc;Добавить вассалам взятому под ваш контроль персонажу 10000 богатсва;x

add_prestige_mind;(SCMR) Контроль разума: Добавить 10k престижа;x
add_prestige_mind_desc;Добавить взятому под ваш контроль персонажу 10000 престижа;x

add_piety_mind;(SCMR) Контроль разума: Добавить 10k благочестия;x
add_piety_mind_desc;Добавить взятому под ваш контроль персонажу 10000 благочестия;x

spawn_army_10k_mind;(SCMR) Контроль разума: Добавить 10k войска;x
spawn_army_10k_mind_desc;Добавить 10k войска в столице взятого под ваш контроль персонажа;x

spawn_army_10k_vassal_mind;(SCMR) Контроль разума: Вассалы: Добавить 10k войска;x
spawn_army_10k_vassal_mind_desc;Добавить 10000 войска в столицах вассалов взятого под ваш контроль персонажа;x

spawn_army_100k_mind;(SCMR) Контроль разума: Добавить 100k войска;x
spawn_army_100k_mind_desc;Добавить 100000 войска в столице взятого под ваш контроль персонажа;x

spawn_fleet_mind;(SCMR) Контроль разума: Добавить 1k флота;x
spawn_fleet_mind_desc;Добавить 1000 кораблей во флот взятого под ваш контроль персонажа;x

raise_rel_authority_mind;(SCMR) Контроль разума: Поднять авторитет религии;x
raise_rel_authority_mind_desc;Поднять авторитет религии до 100%;x

become_independent_mind;(SCMR) Контроль разума: Стать независимым;x
become_independent_mind_desc;Сделать взятого под ваш контроль персонажа независимым;x

set_feudal_mind;(SCMR) Контроль разума: Принять феодализм;x
set_feudal_mind_desc;Изменить тип правления взятого под ваш контроль персонажа на феодализм;x

revoke_all_titles_mind;(SCMR) Контроль разума: Отозвать все титулы вассалов;x
revoke_all_titles_mind_desc;Отозвать все титулы вассалов;x

prune_dynasty_tree_mind;(SCMR) Контроль разума: Очистить династическое древо;x
prune_dynasty_tree_mind_desc;Удалить всех мертвых, бездетных, и безземельных членов династии в древе взятого под ваш контроль персонажа;x

cheat_lower_threat_level_mind;(SCMR) Контроль разума: Снизить уровень угрозы;x
cheat_lower_threat_level_mind_desc;Снизить уровень угрозы взятого под ваш контроль персонажа;x

lower_threat_level_mind;(SCMR) Контроль разума: Снизить уровень угрозы;x
lower_threat_level_mind_desc;Снизить уровень угрозы взятого под ваш контроль персонажа;x

kill_all_courtiers_mind;(SCMR) Контроль разума: Убить всех придворных;x
kill_all_courtiers_mind_desc;Убить всех придворных взятого под ваш контроль персонажа;x

cheat_trait_cleaner_mind;(SCMR) Контроль разума: Очистить читерные черты;x
cheat_trait_cleaner_mind_desc;Удалить читерные черты у всех персонажей, кроме взятого под ваш контроль;x

reveal_realm_plots_mind;(SCMR) Контроль разума: Раскрыть заговоры в стране;x
reveal_realm_plots_mind_desc;Раскрыть все заговоры в стране взятого под ваш контроль персонажа;x

enable_quick_move_mind;(SCMR)Контроль разума: Включить быстрое передвижение;x
enable_quick_move_mind_desc;Все войска будут передвигаться по округу 1 день;x

disable_quick_move_mind;(SCMR) Контроль разума: Отключить быстрое передвижение;x
disable_quick_move_mind_desc;Отключить быстрое передвижение;x

convert_demesne_culture_mind;(SCMR) Контроль разума: Обратить владения в свою культуру;x
convert_demesne_culture_mind_desc;Обратить все округа во владении взятого под ваш контроль персонажа в его культуру;x

convert_demesne_religion_mind;(SCMR) Контроль разума: Обратить владения в свою религию;x
convert_demesne_religion_mind_desc;Обратить все округа во владении взятого под ваш контроль персонажа в его религию;x

convert_vassal_culture_mind;(SCMR) Контроль разума: Обратить вассалов в свою культуру;x
convert_vassal_culture_mind_desc;Обратить всех вассалов взятого под ваш контроль персонажа в его культуру;x

convert_vassal_religion_mind;(SCMR) Контроль разума: Обратить вассалов в свою религию;x
convert_vassal_religion_mind_desc;Обратить всех вассалов взятого под ваш контроль персонажа в его религию;x

convert_courtier_culture_mind;(SCMR) Контроль разума: Обратить придворных в свою культуру;x
convert_courtier_culture_mind_desc;Обратить всех придворных взятого под ваш контроль персонажа в его культуру;x

convert_courtier_religion_mind;(SCMR) Контроль разума: Обратить придворных в свою религию;x
convert_courtier_religion_mind_desc;Обратить всех придворных взятого под ваш контроль персонажа в его религию;x

convert_realm_culture_mind;(SCMR) Контроль разума: Обратить страну в свою культуру;x
convert_realm_culture_mind_desc;Обратить всех придворных, правителей и владения в стране взятого под ваш контроль персонажа в его культуру;x

convert_realm_religion_mind;(SCMR) Контроль разума: Обратить страну в свою религию;x
convert_realm_religion_mind_desc;Обратить всех придворных, правителей и владения в стране взятого под ваш контроль персонажа в его религию;x

convert_realm_ethnicity_mind;(SCMR) Контроль разума: Обратить страну в свой этнос;x
convert_realm_ethnicity_mind_desc;Обратить всех персонажей в стране взятого под ваш контроль персонажа в его этнос;x

world_religion_mind;(SCMR) Контроль разума: Мировая Религия;x
world_religion_mind_desc;Обратить всех персонажей и владения в религию взятого под ваш контроль персонажа;x

world_culture_mind;(SCMR) Контроль разума: Мировая Культура;x
world_culture_mind_desc;Обратить всех персонажей и владения в культуру взятого под ваш контроль персонажа (Не работает на кочевниках);x

world_ethnicity_mind;(SCMR) Контроль разума: Мировой Этнос;x
world_ethnicity_mind_desc;Обратить всех персонажей в этнос взятого под ваш контроль персонажа;x

build_demesne_hold_mind;(SCMR) Контроль разума: Улучшить строения во владениях;x
build_demesne_hold_mind_desc;Улучшить все строения во владениях взятого под ваш контроль персонажа;x

build_realm_hold_mind;(SCMR) Контроль разума: Улучшить строения в стране;x
build_realm_hold_mind_desc;Улучшить все строения во всей стране взятого под ваш контроль персонажа;x

build_demesne_hospital_mind;(SCMR) Контроль разума: Построить госпитали во владениях;x
build_demesne_hospital_mind_desc;Построить госпитали во владениях взятого под ваш контроль персонажа;x

build_demesne_hospital_up_mind;(SCMR) Контроль разума: Построить и улучшить госпитали во владениях;x
build_demesne_hospital_up_mind_desc;Построить и улучшить госпитали во владениях взятого под ваш контроль персонажа;x

build_realm_hospital_mind;(SCMR) Контроль разума: Построить госпитали в стране;x
build_realm_hospital_mind_desc;Построить госпитали по всей стране взятого под ваш контроль персонажа;x

build_realm_hospital_up_mind;(SCMR) Контроль разума: Построить и улучшить госпитали в стране;x
build_realm_hospital_up_mind_desc;Построить и улучшить госпитали по всей стране взятого под ваш контроль персонажа;x

build_family_palace_mind;(SCMR) Контроль разума: Улучшить семейный дворец;x
build_family_palace_mind_desc;Улучшить дворец взятого под ваш контроль персонажа;x

dismantle_demesne_hold_mind;(SCMR) Контроль разума: Уничтожить строения во владениях;x
dismantle_demesne_hold_mind_desc;Уничтожить все строения во владениях взятого под ваш контроль персонажа;x

dismantle_realm_hold_mind;(SCMR) Контроль разума: Уничтожить строения в стране;x
dismantle_realm_hold_mind_desc;Уничтожить строения в стране взятого под ваш контроль персонажа;x

destroy_demesne_hospital_mind;(SCMR) Контроль разума: Уничтожить госпитали во владениях;x
destroy_demesne_hospital_mind_desc;Уничтожить все госпитали во владениях взятого под ваш контроль персонажа;x

dismantle_demesne_hospital_up_mind;(SCMR) Контроль разума: Уничтожить госпитали во владениях;x
dismantle_demesne_hospital_up_mind_desc;Уничтожить все госпитали во владениях взятого под ваш контроль персонажа;x

destroy_realm_hospital_mind;(SCMR) Контроль разума: Уничтожить госпитали в стране;x
destroy_realm_hospital_mind_desc;Уничтожить все госпитали в стране взятого под ваш контроль персонажа;x

dismantle_realm_hospital_up_mind;(SCMR) Контроль разума: Уничтожить госпитали в стране;x
dismantle_realm_hospital_up_mind_desc;Уничтожить все госпитали в стране взятого под ваш контроль персонажа;x

dismantle_family_palace_mind;(SCMR) Контроль разума: Уничтожить семейный дворец;x
dismantle_family_palace_mind_desc;Уничтожить семейный дворец взятого под ваш контроль персонажа;x

charge_demesne_soldier_mind;(SCMR) Контроль разума: Восстановить ополчение во владениях;x
charge_demesne_soldier_mind_desc;Восстановить все ополчение во владениях взятого под ваш контроль персонажа;x

charge_realm_soldier_mind;(SCMR) Контроль разума: Восстановить ополчение в стране;x
charge_realm_soldier_mind_desc;Восстановить все ополчение в стране взятого под ваш контроль персонажа;x

remove_demesne_modifier_mind;(SCMR) Контроль разума: Удалить отрицательные модификаторы во владениях;x
remove_demesne_modifier_mind_desc;Удалить отрицательные модификаторы во владениях взятого под ваш контроль персонажа;x

remove_realm_modifier_mind;(SCMR) Контроль разума: Удалить отрицательные модификаторы в стране;x
remove_realm_modifier_mind_desc;Удалить отрицательные модификаторы в стране взятого под ваш контроль персонажа;x
