#CODE;NAME;x
#CODE_mind_desc;DESCRIPTION;x


remove_envious_mind;--------MC: Remove Envious;x
remove_envious_mind_desc;Remove envious;x

add_greedy_mind;--------MC: Add Greedy;x
add_greedy_mind_desc;Add Greedy;x

remove_greedy_mind;--------MC: Remove Greedy;x
remove_greedy_mind_desc;Remove greedy;x

add_lustful_mind;--------MC: Add Lustful;x
add_lustful_mind_desc;Add lustful;x

remove_lustful_mind;--------MC: Remove Lustful;x
remove_lustful_mind_desc;Remove lustful;x

add_slothful_mind;--------MC: Add Slothful;x
add_slothful_mind_desc;Add slothful;x

remove_slothful_mind;--------MC: Remove Slothful;x
remove_slothful_mind_desc;Remove slothful;x

add_gluttonous_mind;--------MC: Add Gluttonous;x
add_gluttonous_mind_desc;Add gluttonous;x

remove_gluttonous_mind;--------MC: Remove Gluttonous;x
remove_gluttonous_mind_desc;Remove gluttonous;x

add_wroth_mind;--------MC: Add Wroth;x
add_wroth_mind_desc;Add wroth;x

remove_wroth_mind;--------MC: Remove Wroth;x
remove_wroth_mind_desc;Remove wroth;x

add_proud_mind;--------MC: Add Proud;x
add_proud_mind_desc;Add proud;x

remove_proud_mind;--------MC: Remove Proud;x
remove_proud_mind_desc;Remove proud;x

add_cruel_mind;--------MC: Add Cruel;x
add_cruel_mind_desc;Add cruel;x

remove_cruel_mind;--------MC: Remove Cruel;x
remove_cruel_mind_desc;Remove cruel;x

remove_honest_mind;--------MC: Remove Honest;x
remove_honest_mind_desc;Remove honest;x

add_deceitful_mind;--------MC: Add Deceitful;x
add_deceitful_mind_desc;Add deceitful;x

remove_deceitful_mind;--------MC: Remove Deceitful;x
remove_deceitful_mind_desc;Remove deceitful;x

add_shy_mind;--------MC: Add Shy;x
add_shy_mind_desc;Add shy;x

remove_shy_mind;--------MC: Remove Shy;x
remove_shy_mind_desc;Remove shy;x

add_gregarious_mind;--------MC: Add Gregarious;x
add_gregarious_mind_desc;Add gregarious;x

remove_gregarious_mind;--------MC: Remove Gregarious;x
remove_gregarious_mind_desc;Remove gregarious;x

add_trusting_mind;--------MC: Add Trusting;x
add_trusting_mind_desc;Add trusting;x

remove_trusting_mind;--------MC: Remove Trusting;x
remove_trusting_mind_desc;Remove trusting;x

add_paranoid_mind;--------MC: Add Paranoid;x
add_paranoid_mind_desc;Add paranoid;x

remove_paranoid_mind;--------MC: Remove Paranoid;x
remove_paranoid_mind_desc;Remove paranoid;x

add_content_mind;--------MC: Add Content;x
add_content_mind_desc;Add content;x

remove_content_mind;--------MC: Remove Content;x
remove_content_mind_desc;Remove content;x

add_ambitious_mind;--------MC: Add Ambitious;x
add_ambitious_mind_desc;Add ambitious;x

remove_ambitious_mind;--------MC: Remove Ambitious;x
remove_ambitious_mind_desc;Remove ambitious;x

add_just_mind;--------MC: Add Just;x
add_just_mind_desc;Add just;x

remove_just_mind;--------MC: Remove Just;x
remove_just_mind_desc;Remove just;x

add_arbitrary_mind;--------MC: Add Arbitrary;x
add_arbitrary_mind_desc;Add arbitrary;x

remove_arbitrary_mind;--------MC: Remove Arbitrary;x
remove_arbitrary_mind_desc;Remove arbitrary;x

add_brave_mind;--------MC: Add Brave;x
add_brave_mind_desc;Add brave;x

remove_brave_mind;--------MC: Remove Brave;x
remove_brave_mind_desc;Remove brave;x

add_craven_mind;--------MC: Add Craven;x
add_craven_mind_desc;Add craven;x

remove_craven_mind;--------MC: Remove Craven;x
remove_craven_mind_desc;Remove craven;x

add_stubborn_mind;--------MC: Add Stubborn;x
add_stubborn_mind_desc;Add stubborn;x

remove_stubborn_mind;--------MC: Remove Stubborn;x
remove_stubborn_mind_desc;Remove stubborn;x

add_zealous_mind;--------MC: Add Zealous;x
add_zealous_mind_desc;Add zealous;x

remove_zealous_mind;--------MC: Remove Zealous;x
remove_zealous_mind_desc;Remove zealous;x

add_cynical_mind;--------MC: Add Cynical;x
add_cynical_mind_desc;Add cynical;x

remove_cynical_mind;--------MC: Remove Cynical;x
remove_cynical_mind_desc;Remove cynical;x

add_erudite_mind;--------MC: Add Erudite;x
add_erudite_mind_desc;Add erudite;x

remove_erudite_mind;--------MC: Remove Erudite;x
remove_erudite_mind_desc;Remove erudite;x

set_martial_education_mind;--------MC: Martial Education;x
set_martial_education_mind_desc;Gives you the highest martial education trait;x

set_learning_education_mind;--------MC: Learning Education;x
set_learning_education_mind_desc;Gives you the highest learning education trait;x

set_stewardship_education_mind;--------MC: Stewardship Education;x
set_stewardship_education_mind_desc;Gives you the highest stewardship education trait;x

set_intrigue_education_mind;--------MC: Intrigue Education;x
set_intrigue_education_mind_desc;Gives you the highest intrigue education trait;x

set_diplomacy_education_mind;--------MC: Diplomacy Education;x
set_diplomacy_education_mind_desc;Gives you the highest diplomacy education trait;x

scmr_up_education_mind;--------MC: Improve Education Rank;x
scmr_up_education_mind_desc;Increase your education trait;x

scmr_down_education_mind;--------MC: Reduce Education Rank;x
scmr_down_education_mind_desc;Reduce your education trait;x

add_fair_mind;--------MC: Add Attractive;x
add_fair_mind_desc;Add attractive;x

remove_fair_mind;--------MC: Remove Attractive;x
remove_fair_mind_desc;Remove attractive;x

add_strong_mind;--------MC: Add Strong;x
add_strong_mind_desc;Add strong;x

remove_strong_mind;--------MC: Remove Strong;x
remove_strong_mind_desc;Remove strong;x

add_celibate_mind;--------MC: Add Celibate;x
add_celibate_mind_desc;Add celibate;x

remove_celibate_mind;--------MC: Remove Celibate;x
remove_celibate_mind_desc;Remove celibate;x

add_falconer_mind;--------MC: Add Falconer;x
add_falconer_mind_desc;Add falconer;x

remove_falconer_mind;--------MC: Remove Falconer;x
remove_falconer_mind_desc;Remove falconer;x

add_poet_mind;--------MC: Add Poet;x
add_poet_mind_desc;Add poet;x

remove_poet_mind;Remove Poet;x
remove_poet_mind_desc;Remove poet;x

add_honest_mind;--------MC: Add Honest;x
add_honest_mind_desc;Add honest;x

add_quick_mind;--------MC: Add Quick;x
add_quick_mind_desc;Add quick;x

remove_quick_mind;--------MC: Remove Quick;x
remove_quick_mind_desc;Remove quick;x

add_genius_mind;--------MC: Add Genius;x
add_genius_mind_desc;Add genius;x

remove_genius_mind;--------MC: Remove Genius;x
remove_genius_mind_desc;Remove genius;x

remove_diseases_mind;--------MC: Remove Wounds Illnesses Diseases;x
remove_diseases_mind_desc;Remove wounds, illnesses, and diseases;x

remove_symptoms_mind;--------MC: Remove Symptoms;x
remove_symptoms_mind_desc;Remove symptoms;x

remove_others_mind;--------MC: Remove Other Defects;x
remove_others_mind_desc;Remove other defects;x

remove_defects_mind;--------MC: Remove Birth Defects;x
remove_defects_mind_desc;Remove birth defects;x

add_robust_mind;--------MC: Add Brawny;x
add_robust_mind_desc;Add brawny;x

remove_robust_mind;--------MC: Remove Brawny;x
remove_robust_mind_desc;Remove brawny;x

add_sturdy_mind;--------MC: Add Sturdy;x
add_sturdy_mind_desc;Add sturdy;x

remove_sturdy_mind;--------MC: Remove Sturdy;x
remove_sturdy_mind_desc;Remove sturdy;x


add_feeble_mind;--------MC: Add Frail;x
add_feeble_mind_desc;Add frail;x

remove_feeble_mind;--------MC: Remove Frail;x
remove_feeble_mind_desc;Remove frail;x

add_shrewd_mind;--------MC: Add Shrewd;x
add_shrewd_mind_desc;Add shrewd;x

remove_shrewd_mind;--------MC: Remove Shrewd;x
remove_shrewd_mind_desc;Remove shrewd;x

add_dull_mind;--------MC: Add Dull;x
add_dull_mind_desc;Add dull;x

remove_dull_mind;--------MC: Remove Dull;x
remove_dull_mind_desc;Remove dull;x

add_groomed_mind;--------MC: Add Groomed;x
add_groomed_mind_desc;Add groomed;x

remove_groomed_mind;--------MC: Remove Groomed;x
remove_groomed_mind_desc;Remove groomed;x

add_uncouth_mind;--------MC: Add Uncouth;x
add_uncouth_mind_desc;Add uncouth;x

remove_uncouth_mind;--------MC: Remove Uncouth;x
remove_uncouth_mind_desc;Remove uncouth;x

add_is_fat_mind;--------MC: Add Fat;x
add_is_fat_mind_desc;Add fat;x

remove_is_fat_mind;--------MC: Remove Fat;x
remove_is_fat_mind_desc;Remove fat;x

add_is_malnourished_mind;--------MC: Add Malnourished;x
add_is_malnourished_mind_desc;Add malnourished;x

remove_is_malnourished_mind;--------MC: Remove Malnourished;x
remove_is_malnourished_mind_desc;Remove malnourished;x

add_homosexual_mind;--------MC: Add Homosexual;x
add_homosexual_mind_desc;Add homosexual;x

remove_homosexual_mind;--------MC: Remove Homosexual;x
remove_homosexual_mind_desc;Remove homosexual;x

add_crusader_mind;--------MC: Add Crusader;x
add_crusader_mind_desc;Add crusader;x

remove_crusader_mind;--------MC: Remove Crusader;x
remove_crusader_mind_desc;Remove crusader;x

add_scarred_mind;--------MC: Add Scarred;x
add_scarred_mind_desc;Add scarred;x

remove_scarred_mind;--------MC: Remove Scarred;x
remove_scarred_mind_desc;Remove scarred;x

remove_child_of_concubine_mind;--------MC: Remove Child Of Concubine;x
remove_child_of_concubine_mind_desc;Remove child Of concubine;x

add_mystic_mind;--------MC: Add Mystic;x
add_mystic_mind_desc;Add mystic;x

remove_mystic_mind;--------MC: Remove Mystic;x
remove_mystic_mind_desc;Remove mystic;x

add_seducer_mind;--------MC: Add Master Seducer;x
add_seducer_mind_desc;Add master seducer;x

remove_seducer_mind;--------MC: Remove Master Seducer;x
remove_seducer_mind_desc;Remove master seducer;x

add_seductress_mind;--------MC: Add Master Seductress;x
add_seductress_mind_desc;Add master seductress;x

remove_seductress_mind;--------MC: Remove Master Seductress;x
remove_seductress_mind_desc;Remove master seductress;x

add_schemer_mind;--------MC: Add Master Schemer;x
add_schemer_mind_desc;Add master schemer;x

remove_schemer_mind;--------MC: Remove Master Schemer;x
remove_schemer_mind_desc;Remove master schemer;x

add_hedonist_mind;--------MC: Add Hedonist;x
add_hedonist_mind_desc;Add hedonist;x

remove_hedonist_mind;--------MC: Remove Hedonist;x
remove_hedonist_mind_desc;Remove hedonist;x

add_socializer_mind;--------MC: Add Socializer;x
add_socializer_mind_desc;Add socializer;x

remove_socializer_mind;--------MC: Remove Socializer;x
remove_socializer_mind_desc;Remove socializer;x

add_gamer_mind;--------MC: Add Gamer;x
add_gamer_mind_desc;Add gamer;x

remove_gamer_mind;--------MC: Remove Gamer;x
remove_gamer_mind_desc;Remove gamer;x

add_impaler_mind;--------MC: Add Torturer;x
add_impaler_mind_desc;Add torturer;x

remove_impaler_mind;--------MC: Remove Torturer;x
remove_impaler_mind_desc;Remove torturer;x

add_adventurer_mind;--------MC: Add Adventurer;x
add_adventurer_mind_desc;Add adventurer;x

remove_adventurer_mind;--------MC: Remove Adventurer;x
remove_adventurer_mind_desc;Remove adventurer;x

add_ravager_mind;--------MC: Add Ravager;x
add_ravager_mind_desc;Add ravager;x

remove_ravager_mind;--------MC: Remove Ravager;x
remove_ravager_mind_desc;Remove ravager;x

add_shieldmaiden_mind;--------MC: Add Shieldmaiden;x
add_shieldmaiden_mind_desc;Add shieldmaiden;x

remove_shieldmaiden_mind;--------MC: Remove Shieldmaiden;x
remove_shieldmaiden_mind_desc;Remove shieldmaiden;x

add_sea_queen_mind;--------MC: Add Sea Queen;x
add_sea_queen_mind_desc;Add sea queen;x

remove_sea_queen_mind;--------MC: Remove Sea Queen;x
remove_sea_queen_mind_desc;Remove sea queen;x

add_cannibal_trait_mind;--------MC: Add Cannibal;x
add_cannibal_trait_mind_desc;Add cannibal;x

remove_cannibal_trait_mind;--------MC: Remove Cannibal;x
remove_cannibal_trait_mind_desc;Remove cannibal;x

add_hunter_mind;--------MC: Add Hunter;x
add_hunter_mind_desc;Add hunter;x

remove_hunter_mind;--------MC: Remove Hunter;x
remove_hunter_mind_desc;Remove hunter;x

add_duelist_mind;--------MC: Add Duelist;x
add_duelist_mind_desc;Add duelist;x

remove_duelist_mind;--------MC: Remove Duelist;x
remove_duelist_mind_desc;Remove duelist;x

add_strategist_mind;--------MC: Add Strategist;x
add_strategist_mind_desc;Add strategist;x

remove_strategist_mind;--------MC: Remove Strategist;x
remove_strategist_mind_desc;Remove strategist;x

add_architect_mind;--------MC: Add Architect;x
add_architect_mind_desc;Add architect;x

remove_architect_mind;--------MC: Remove Architect;x
remove_architect_mind_desc;Remove architect;x

add_gardener_mind;--------MC: Add Gardener;x
add_gardener_mind_desc;Add gardener;x

remove_gardener_mind;--------MC: Remove Gardener;x
remove_gardener_mind_desc;Remove gardener;x

add_administrator_mind;--------MC: Add Administrator;x
add_administrator_mind_desc;Add administrator;x

remove_administrator_mind;--------MC: Remove Administrator;x
remove_administrator_mind_desc;Remove administrator;x

add_scholar_mind;--------MC: Add Scholar;x
add_scholar_mind_desc;Add scholar;x

add_physician_mind;--------MC: Add Physician;x
add_physician_mind_desc;Add physician;x

remove_physician_mind;--------MC: Remove Physician;x
remove_physician_mind_desc;Remove physician;x

remove_scholar_mind;--------MC: Remove Scholar;x
remove_scholar_mind_desc;Remove scholar;x

add_theologian_mind;--------MC: Add Theologian;x
add_theologian_mind_desc;Add theologian;x

remove_theologian_mind;--------MC: Remove Theologian;x
remove_theologian_mind_desc;Remove theologian;x

add_winter_leader_mind;--------MC: Add Winter Leader;x
add_winter_leader_mind_desc;Add winter leader;x

remove_winter_leader_mind;--------MC: Remove Winter Leader;x
remove_winter_leader_mind_desc;Remove winter leader;x

add_cavalry_leader_mind;--------MC: Add Cavalry Leader;x
add_cavalry_leader_mind_desc;Add cavalry leader;x

remove_cavalry_leader_mind;--------MC: Remove Cavalry Leader;x
remove_cavalry_leader_mind_desc;Remove cavalry leader;x

add_light_foot_leader_mind;--------MC: Add Light Foot Leader;x
add_light_foot_leader_mind_desc;Add light foot leader;x

remove_light_foot_leader_mind;--------MC: Remove Light Foot Leader;x
remove_light_foot_leader_mind_desc;Remove light foot leader;x

add_heavy_infantry_leader_mind;--------MC: Add Heavy Infantry Leader;x
add_heavy_infantry_leader_mind_desc;Add heavy infantry leader;x

remove_heavy_infantry_leader_mind;--------MC: Remove Heavy Infantry Leader;x
remove_heavy_infantry_leader_mind_desc;Remove heavy infantry leader;x

add_inspiring_leader_mind;--------MC: Add Inspiring Leader;x
add_inspiring_leader_mind_desc;Add inspiring leader;x

remove_inspiring_leader_mind;--------MC: Remove Inspiring Leader;x
remove_inspiring_leader_mind_desc;Remove inspiring leader;x

add_defensive_leader_mind;--------MC: Add Defender;x
add_defensive_leader_mind_desc;Add defender;x

remove_defensive_leader_mind;--------MC: Remove Defender;x
remove_defensive_leader_mind_desc;Remove defender;x

add_aggressive_leader_mind;--------MC: Add Aggressive Leader;x
add_aggressive_leader_mind_desc;Add aggressive leader;x

remove_aggressive_leader_mind;--------MC: Remove Aggressive Leader;x
remove_aggressive_leader_mind_desc;Remove aggressive leader;x

add_trickster_mind;--------MC: Add Trickster;x
add_trickster_mind_desc;Add trickster;x

remove_trickster_mind;--------MC: Remove Trickster;x
remove_trickster_mind_desc;Remove trickster;x

add_organizer_mind;--------MC: Add Organizer;x
add_organizer_mind_desc;Add organizer;x

remove_organizer_mind;--------MC: Remove Organizer;x
remove_organizer_mind_desc;Remove organizer;x

add_flanker_mind;--------MC: Add Flanker;x
add_flanker_mind_desc;Add flanker;x

remove_flanker_mind;--------MC: Remove Flanker;x
remove_flanker_mind_desc;Remove flanker;x

add_experimenter_mind;--------MC: Add Direct Leader;x
add_experimenter_mind_desc;Add direct leader;x

remove_experimenter_mind;--------MC: Remove Direct Leader;x
remove_experimenter_mind_desc;Remove direct leader;x

add_siege_leader_mind;--------MC: Add Siege Leader;x
add_siege_leader_mind_desc;Add siege leader;x

remove_siege_leader_mind;--------MC: Remove Siege Leader;x
remove_siege_leader_mind_desc;Remove siege leader;x

add_flat_terrain_leader_mind;--------MC: Add Flat Terrain Expert;x
add_flat_terrain_leader_mind_desc;Add flat terrain expert;x

remove_flat_terrain_leader_mind;--------MC: Remove Flat Terrain Expert;x
remove_flat_terrain_leader_mind_desc;Remove flat terrain expert;x

add_rough_terrain_leader_mind;--------MC: Add Rough Terrain Expert;x
add_rough_terrain_leader_mind_desc;Add rough terrain expert;x

remove_rough_terrain_leader_mind;--------MC: Remove Rough Terrain Expert;x
remove_rough_terrain_leader_mind_desc;Remove rough terrain expert;x

add_mountain_terrain_leader_mind;--------MC: Add Mountain Terrain Expert;x
add_mountain_terrain_leader_mind_desc;Add mountain terrain expert;x

remove_mountain_terrain_leader_mind;--------MC: Remove Mountain Terrain Expert;x
remove_mountain_terrain_leader_mind_desc;Remove mountain terrain expert;x

add_desert_terrain_leader_mind;--------MC: Add Desert Expert;x
add_desert_terrain_leader_mind_desc;Add desert expert;x

remove_desert_terrain_leader_mind;--------MC: Remove Desert Expert;x
remove_desert_terrain_leader_mind_desc;Remove desert expert;x

add_unyielding_leader_mind;--------MC: Add Unyielding;x
add_unyielding_leader_mind_desc;Add unyielding;x

remove_unyielding_leader_mind;--------MC: Remove Unyielding;x
remove_unyielding_leader_mind_desc;Remove unyielding;x

add_master_of_flame_mind;--------MC: Add Way Of Dragon;x
add_master_of_flame_mind_desc;Add way Of dragon;x

remove_master_of_flame_mind;--------MC: Remove Way Of Dragon;x
remove_master_of_flame_mind_desc;Remove way of dragon;x

add_logistics_expert_mind;--------MC: Add Way Of Tiger;x
add_logistics_expert_mind_desc;Add way of tiger;x

remove_logistics_expert_mind;--------MC: Remove Way Of Tiger;x
remove_logistics_expert_mind_desc;Remove way of tiger;x

add_levy_coordinator_mind;--------MC: Add Way Of Dog;x
add_levy_coordinator_mind_desc;Add way of dog;x

remove_levy_coordinator_mind;--------MC: Remove Way Of Dog;x
remove_levy_coordinator_mind_desc;Remove way of dog;x

add_sapper_mind;--------MC: Add Way Of Leopard;x
add_sapper_mind_desc;Add way of leopard;x

remove_sapper_mind;--------MC: Remove Way Of Leopard;x
remove_sapper_mind_desc;Remove way of leopard;x

add_narrow_flank_leader_mind;--------MC: Add Battlefield Terrain Master;x
add_narrow_flank_leader_mind_desc;Add battlefield terrain master;x

remove_narrow_flank_leader_mind;--------MC: Remove Battlefield Terrain Master;x
remove_narrow_flank_leader_mind_desc;Remove battlefield terrain master;x

add_holy_warrior_mind;--------MC: Add Holy Warrior;x
add_holy_warrior_mind_desc;Add holy warrior;x

remove_holy_warrior_mind;--------MC: Remove Holy Warrior;x
remove_holy_warrior_mind_desc;Remove holy warrior;x

add_war_elephant_leader_mind;--------MC: Add War Elephant Leader;x
add_war_elephant_leader_mind_desc;Add war elephant leader;x

remove_war_elephant_leader_mind;--------MC: Remove War Elephant Leader;x
remove_war_elephant_leader_mind_desc;Remove war elephant leader;x

add_jungle_terrain_leader_mind;--------MC: Add Jungle Expert;x
add_jungle_terrain_leader_mind_desc;Add jungle expert;x

remove_jungle_terrain_leader_mind;--------MC: Remove Jungle Expert;x
remove_jungle_terrain_leader_mind_desc;Remove jungle expert;x

add_winter_soldier_mind;--------MC: Add Winter Soldier;x
add_winter_soldier_mind_desc;Add winter soldier;x

remove_winter_soldier_mind;--------MC: Remove Winter Soldier;x
remove_winter_soldier_mind_desc;Remove winter soldier;x

add_vassal_content_mind;--------MC: Vassals: Add Content;x
add_vassal_content_mind_desc;Vassals courtiers: add content;x

add_vassal_trusting_mind;--------MC: Vassals: Add Trusting;x
add_vassal_trusting_mind_desc;Vassals courtiers: add trusting;x

add_vassal_honest_mind;--------MC: Vassals: Add Honest;x
add_vassal_honest_mind_desc;Vassals courtiers: add honest;x

add_vassal_virtues_mind;--------MC: Vassals: Add All Virtues;x
add_vassal_virtues_mind_desc;Vassals courtiers: add all virtues;x

remove_vassal_sins_mind;--------MC: Vassals: Remove All Sins;x
remove_vassal_sins_mind_desc;Vassals courtiers: remove all sins;x

add_lunatic_mind;--------MC: Add Lunatic;x
add_lunatic_mind_desc;Add lunatic;x

remove_lunatic_mind;--------MC: Remove Lunatic;x
remove_lunatic_mind_desc;Remove lunatic;x

add_possessed_mind;--------MC: Add Possessed;x
add_possessed_mind_desc;Add possessed;x

remove_possessed_mind;--------MC: Remove Possessed;x
remove_possessed_mind_desc;Remove possessed;x

add_blinded_mind;--------MC: Add Blinded;x
add_blinded_mind_desc;Add blinded;x

remove_blinded_mind;--------MC: Remove Blinded;x
remove_blinded_mind_desc;Remove blinded;x

add_dynasty_content_mind;--------MC: Dynasty: Add Content;x
add_dynasty_content_mind_desc;Dynasty spouses: add content;x

add_dynasty_trusting_mind;--------MC: Dynasty: Add Trusting;x
add_dynasty_trusting_mind_desc;Dynasty spouses: add trusting;x

add_dynasty_honest_mind;--------MC: Dynasty: Add Honest;x
add_dynasty_honest_mind_desc;Dynasty spouses: add honest;x

add_dynasty_virtues_mind;--------MC: Dynasty: Add All Virtues;x
add_dynasty_virtues_mind_desc;Dynasty spouses: add all virtues;x

remove_dynasty_sins_mind;--------MC: Dynasty: Remove All Sins;x
remove_dynasty_sins_mind_desc;Dynasty spouses: remove all sins;x

add_dynasty_genetics_mind;--------MC: Dynasty: Add Good Congenital Traits;x
add_dynasty_genetics_mind_desc;Dynasty spouses: add good congenital traits;x

add_beloved_mind;--------MC: Add Beloved;x
add_beloved_mind_desc;Add beloved;x

remove_beloved_mind;--------MC: Remove Beloved;x
remove_beloved_mind_desc;Remove beloved;x

add_immortal_mind;--------MC: Add Immortal;x
add_immortal_mind_desc;Add immortal;x

remove_immortal_mind;--------MC: Remove Immortal;x
remove_immortal_mind_desc;Remove immortal;x

add_landlord_mind;--------MC: Add Master Landowner;x
add_landlord_mind_desc;Add master landowner;x

remove_landlord_mind;--------MC: Remove Master Landowner;x
remove_landlord_mind_desc;Remove master landowner;x

add_conspirator_mind;--------MC: Add Master Plotter;x
add_conspirator_mind_desc;Add master plotter;x

remove_conspirator_mind;--------MC: Remove Master Plotter;x
remove_conspirator_mind_desc;Remove master plotter;x

add_mastermind_mind;--------MC: Add Master Commander;x
add_mastermind_mind_desc;Add master commander;x

remove_mastermind_mind;--------MC: Remove Master Commander;x
remove_mastermind_mind_desc;Remove master commander;x

add_builder_mind;--------MC: Add Master Builder;x
add_builder_mind_desc;Add master builder;x

remove_builder_mind;--------MC: Remove Master Builder;x
remove_builder_mind_desc;Remove master builder;x

add_one_eyed_mind;--------MC: Add One-Eyed;x
add_one_eyed_mind_desc;Add one-eyed;x

add_one_handed_mind;--------MC: Add One-Handed;x
add_one_handed_mind_desc;Add one-handed;x

add_one_legged_mind;--------MC: Add One-Legged;x
add_one_legged_mind_desc;Add one-legged;x

add_disfigured_mind;--------MC: Add Disfigured;x
add_disfigured_mind_desc;Add disfigured;x

add_sayyid_mind;--------MC: Add Sayyid;x
add_sayyid_mind_desc;Add sayyid;x

remove_sayyid_mind;--------MC: Remove Sayyid;x
remove_sayyid_mind_desc;Remove sayyid;x

add_mirza_mind;--------MC: Add Mirza;x
add_mirza_mind_desc;Add mirza;x

remove_mirza_mind;--------MC: Remove Mirza;x
remove_mirza_mind_desc;Remove mirza;x

add_ashari_mind;--------MC: Add Ashari;x
add_ashari_mind_desc;Add ashari;x

remove_ashari_mind;--------MC: Remove Ashari;x
remove_ashari_mind_desc;Remove ashari;x

add_mutazilite_mind;--------MC: Add Mutazilite;x
add_mutazilite_mind_desc;Add mutazilite;x

remove_mutazilite_mind;--------MC: Remove Mutazilite;x
remove_mutazilite_mind_desc;Remove mutazilite;x

